tool	AProVE 	AProVE 	AProVE 	AProVE 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_memory_alloca/svcomp_Avery-2006FLOPS-Tabel1_true-termination-alloca.c	true	41.399516552	13.703966913744807	2974781440
C/AProVE_memory_alloca/svcomp_Ben-Amram-2010LMCS-Ex2.3_true-termination-alloca.c	true	30.387677658	7.358327431604266	1595715584
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1-modified_false-termination.c	TIMEOUT	301.827734214	129.10255405772477	6952759296
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1_true-termination-alloca.c	TIMEOUT	306.658239996	121.52453854121268	5980704768
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005ICALP-Fig1_true-termination-alloca.c	TIMEOUT	305.186668843	59.25761477928609	8206475264
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-termination-alloca.c	true	39.098235314	8.3544190088287	2229870592
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Introduction_true-termination-alloca.c	true	21.269434712	3.8629144951701164	562827264
C/AProVE_memory_alloca/svcomp_ChenFlurMukhopadhyay-2012SAS-Fig1_true-termination-alloca.c	true	20.92146867	3.9064800664782524	746016768
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig3_true-termination-alloca.c	true	23.991522242	4.385577322915196	1341440000
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7a_true-termination-alloca.c	true	40.170343218	7.509326008148491	2728374272
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7b_true-termination-alloca.c	true	114.269557079	18.998092549853027	5554159616
C/AProVE_memory_alloca/svcomp_GulwaniJainKoskinen-2009PLDI-Fig1_true-termination-alloca.c	TIMEOUT	300.726293467	242.148329121992	5213720576
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig1_true-termination-alloca.c	true	15.080562377	3.316917520016432	676696064
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig2_false-termination-alloca.c	false(termination)	179.377077368	58.08349113818258	5632253952
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-termination-alloca.c	true	20.498092296	3.971536382101476	1204957184
C/AProVE_memory_alloca/svcomp_KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination-alloca.c	TIMEOUT	300.27798164	275.3266041353345	5148307456
C/AProVE_memory_alloca/svcomp_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1_true-termination-alloca.c	TIMEOUT	306.153045462	45.848007504828274	6700646400
C/AProVE_memory_alloca/svcomp_Masse_true-termination-alloca.c	TIMEOUT	305.865210245	45.16563695948571	7317684224
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig7_true-termination-alloca.c	true	68.248122947	24.896917739883065	5254561792
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig8_true-termination-alloca.c	true	56.506492429	16.996138900518417	3955273728
C/AProVE_memory_alloca/svcomp_PodelskiRybalchenko-2004VMCAI-Ex2_true-termination-alloca.c	false(termination)	7.183891863	1.9273213278502226	307744768
C/AProVE_memory_alloca/svcomp_TelAviv-Amir-Minimum_true-termination-alloca.c	TIMEOUT	301.604756834	64.00643057655543	6430007296
C/AProVE_memory_alloca/svcomp_Toulouse-BranchesToLoop_true-termination-alloca.c	true	19.812032739	3.917830867692828	789983232
C/AProVE_memory_alloca/svcomp_Toulouse-MultiBranchesToLoop_true-termination-alloca.c	true	23.86102123	5.2032832792028785	818257920
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig1_false-termination-alloca.c	false(termination)	7.35106042	1.9989172648638487	297492480
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2-modified1000_true-termination-alloca.c	true	19.788817629	3.8262662952765822	813481984
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2_true-termination-alloca.c	true	19.176314533	3.716393739916384	939921408
C/AProVE_memory_alloca/svcomp_Urban_true-termination-alloca.c	true	123.780141094	20.064316204749048	5562949632
C/AProVE_memory_alloca/svcomp_Velroyen_false-termination-alloca.c	false(termination)	10.616588366	2.502853569574654	381435904
C/AProVE_memory_alloca/svcomp_aviad_true-termination-alloca.c	TIMEOUT	302.388661706	51.49519579857588	8244158464
C/AProVE_memory_alloca/svcomp_cstrchr_true-termination_alloca.c	true	27.421650158	4.901131064631045	795238400
C/AProVE_memory_alloca/svcomp_cstrcmp_true-termination_alloca.c	true	43.773251679	8.962892847135663	2108436480
C/AProVE_memory_alloca/svcomp_cstrcspn_true-termination_alloca.c	true	105.207474248	28.414437615312636	5426548736
C/AProVE_memory_alloca/svcomp_cstrlen_true-termination_alloca.c	true	23.882430467	4.387435832992196	757592064
