tool	ceagle 	ceagle 	ceagle 	ceagle 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_memory_alloca/svcomp_Avery-2006FLOPS-Tabel1_true-termination-alloca.c	true	6.294270192	6.287073703482747	14131200
C/AProVE_memory_alloca/svcomp_Ben-Amram-2010LMCS-Ex2.3_true-termination-alloca.c	ERROR (3)	0.122233336	0.12218634691089392	8470528
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1-modified_false-termination.c	ERROR (3)	0.084143672	0.08465987257659435	8335360
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1_true-termination-alloca.c	ERROR (3)	0.114003243	0.11393577698618174	8474624
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005ICALP-Fig1_true-termination-alloca.c	true	29.895822992	29.797312724404037	21250048
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-termination-alloca.c	ERROR (3)	0.091982895	0.09196370467543602	8474624
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Introduction_true-termination-alloca.c	ERROR (3)	0.095180884	0.09521326888352633	8609792
C/AProVE_memory_alloca/svcomp_ChenFlurMukhopadhyay-2012SAS-Fig1_true-termination-alloca.c	ERROR (3)	0.112849633	0.11281988583505154	8613888
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig3_true-termination-alloca.c	ERROR (3)	0.094539121	0.0945361778140068	8597504
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7a_true-termination-alloca.c	ERROR (3)	0.106987083	0.10719776526093483	8749056
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7b_true-termination-alloca.c	ERROR (3)	0.116512672	0.11653610784560442	8597504
C/AProVE_memory_alloca/svcomp_GulwaniJainKoskinen-2009PLDI-Fig1_true-termination-alloca.c	ERROR (3)	0.110889878	0.11086365301162004	8601600
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig1_true-termination-alloca.c	true	1.127273027	1.148409123532474	8859648
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig2_false-termination-alloca.c	ERROR (3)	0.097072686	0.09716805908828974	8613888
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-termination-alloca.c	ERROR (3)	0.064893149	0.0651124520227313	8593408
C/AProVE_memory_alloca/svcomp_KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination-alloca.c	ERROR (3)	0.096454066	0.09657817985862494	8597504
C/AProVE_memory_alloca/svcomp_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1_true-termination-alloca.c	ERROR (3)	0.117893703	0.11780706606805325	8622080
C/AProVE_memory_alloca/svcomp_Masse_true-termination-alloca.c	ERROR (3)	0.076162083	0.07625547330826521	8617984
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig7_true-termination-alloca.c	ERROR (3)	0.083547476	0.08389491867274046	8474624
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig8_true-termination-alloca.c	ERROR (3)	0.121300228	0.12127487454563379	8617984
C/AProVE_memory_alloca/svcomp_PodelskiRybalchenko-2004VMCAI-Ex2_true-termination-alloca.c	ERROR (3)	0.080544285	0.0806378722190857	8609792
C/AProVE_memory_alloca/svcomp_TelAviv-Amir-Minimum_true-termination-alloca.c	ERROR (3)	0.102285268	0.10235852748155594	8450048
C/AProVE_memory_alloca/svcomp_Toulouse-BranchesToLoop_true-termination-alloca.c	ERROR (3)	0.0883563	0.08888623677194118	8749056
C/AProVE_memory_alloca/svcomp_Toulouse-MultiBranchesToLoop_true-termination-alloca.c	ERROR (3)	0.086241759	0.08633469231426716	8749056
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig1_false-termination-alloca.c	ERROR (3)	0.082575793	0.08278379309922457	8728576
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2-modified1000_true-termination-alloca.c	ERROR (3)	0.095159267	0.09512489195913076	8744960
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2_true-termination-alloca.c	ERROR (3)	0.092840858	0.09286039788275957	8749056
C/AProVE_memory_alloca/svcomp_Urban_true-termination-alloca.c	ERROR (3)	0.093510316	0.09366284124553204	8597504
C/AProVE_memory_alloca/svcomp_Velroyen_false-termination-alloca.c	ERROR (3)	0.077488554	0.07761942408978939	8613888
C/AProVE_memory_alloca/svcomp_aviad_true-termination-alloca.c	true	5.540842915	5.505219875834882	11649024
C/AProVE_memory_alloca/svcomp_cstrchr_true-termination_alloca.c	ERROR (3)	0.902587767	0.8989439206197858	8609792
C/AProVE_memory_alloca/svcomp_cstrcmp_true-termination_alloca.c	ERROR (3)	3.662031313	3.646246898919344	8495104
