tool	ctrl 	ctrl 	ctrl 	ctrl 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_memory_alloca/svcomp_Avery-2006FLOPS-Tabel1_true-termination-alloca.c	ERROR (2)	0.011614486	0.01181125734001398	3526656
C/AProVE_memory_alloca/svcomp_Ben-Amram-2010LMCS-Ex2.3_true-termination-alloca.c	ERROR (2)	0.01294458	0.013180349953472614	3526656
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1-modified_false-termination.c	ERROR (2)	0.011321908	0.011549406684935093	1630208
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1_true-termination-alloca.c	ERROR (2)	0.012910669	0.013116796500980854	1622016
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005ICALP-Fig1_true-termination-alloca.c	ERROR (2)	0.012219101	0.012453636154532433	1642496
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-termination-alloca.c	ERROR (2)	0.012696245	0.012938328087329865	1654784
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Introduction_true-termination-alloca.c	ERROR (2)	0.012321484	0.012556148692965508	1777664
C/AProVE_memory_alloca/svcomp_ChenFlurMukhopadhyay-2012SAS-Fig1_true-termination-alloca.c	ERROR (2)	0.011951071	0.012246680445969105	1654784
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig3_true-termination-alloca.c	ERROR (2)	0.012586242	0.012834162451326847	1773568
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7a_true-termination-alloca.c	ERROR (2)	0.012327179	0.012525424361228943	1650688
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7b_true-termination-alloca.c	ERROR (2)	0.012602377	0.01283496618270874	1507328
C/AProVE_memory_alloca/svcomp_GulwaniJainKoskinen-2009PLDI-Fig1_true-termination-alloca.c	ERROR (2)	0.013131942	0.013408560305833817	1753088
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig1_true-termination-alloca.c	ERROR (2)	0.013304798	0.013522895984351635	1630208
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig2_false-termination-alloca.c	ERROR (2)	0.013632719	0.013847117312252522	1843200
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-termination-alloca.c	ERROR (2)	0.011455815	0.011651292443275452	1511424
C/AProVE_memory_alloca/svcomp_KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination-alloca.c	ERROR (2)	0.012783081	0.012980863451957703	1761280
C/AProVE_memory_alloca/svcomp_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1_true-termination-alloca.c	ERROR (2)	0.012994995	0.013218437321484089	1634304
C/AProVE_memory_alloca/svcomp_Masse_true-termination-alloca.c	ERROR (2)	0.012051802	0.012255667708814144	1781760
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig7_true-termination-alloca.c	ERROR (2)	0.011955918	0.012195953167974949	3395584
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig8_true-termination-alloca.c	ERROR (2)	0.011717936	0.011959592811763287	1777664
C/AProVE_memory_alloca/svcomp_PodelskiRybalchenko-2004VMCAI-Ex2_true-termination-alloca.c	ERROR (2)	0.012609257	0.012854521162807941	1789952
C/AProVE_memory_alloca/svcomp_TelAviv-Amir-Minimum_true-termination-alloca.c	ERROR (2)	0.01302167	0.013232176192104816	1630208
C/AProVE_memory_alloca/svcomp_Toulouse-BranchesToLoop_true-termination-alloca.c	ERROR (2)	0.012357145	0.012577282264828682	1667072
C/AProVE_memory_alloca/svcomp_Toulouse-MultiBranchesToLoop_true-termination-alloca.c	ERROR (2)	0.012742497	0.012949494644999504	1728512
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig1_false-termination-alloca.c	ERROR (2)	0.012482707	0.016277790069580078	1785856
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2-modified1000_true-termination-alloca.c	ERROR (2)	0.011801631	0.012014883570373058	1794048
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2_true-termination-alloca.c	ERROR (2)	0.012258419	0.014740679413080215	1773568
C/AProVE_memory_alloca/svcomp_Urban_true-termination-alloca.c	ERROR (2)	0.012511091	0.012747748754918575	1757184
C/AProVE_memory_alloca/svcomp_Velroyen_false-termination-alloca.c	ERROR (2)	0.010605663	0.010976382531225681	1503232
C/AProVE_memory_alloca/svcomp_aviad_true-termination-alloca.c	ERROR (2)	0.011851911	0.012056653387844563	1761280
C/AProVE_memory_alloca/svcomp_cstrchr_true-termination_alloca.c	ERROR (2)	0.01172066	0.012039275839924812	1626112
