tool	kittel 	kittel 	kittel 	kittel 
run set	default	default	default	default
../tpdb-54833d03619e/	status	cputime (s)	walltime (s)	memUsage
C/AProVE_memory_alloca/svcomp_Avery-2006FLOPS-Tabel1_true-termination-alloca.c	false(termination)	0.570125073	0.5685422942042351	8396800
C/AProVE_memory_alloca/svcomp_Ben-Amram-2010LMCS-Ex2.3_true-termination-alloca.c	false(termination)	0.929613489	0.9259477872401476	8544256
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1-modified_false-termination.c	TIMEOUT	300.810265276	299.52780579030514	29712384
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005CAV-Fig1_true-termination-alloca.c	false(termination)	0.990220813	0.9863865487277508	8175616
C/AProVE_memory_alloca/svcomp_BradleyMannaSipma-2005ICALP-Fig1_true-termination-alloca.c	TIMEOUT	300.183081974	296.7425074847415	38092800
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Fig1_true-termination-alloca.c	false(termination)	0.641344525	0.6394396210089326	8499200
C/AProVE_memory_alloca/svcomp_BrockschmidtCookFuhs-2013CAV-Introduction_true-termination-alloca.c	false(termination)	0.330882023	0.32995937298983335	8540160
C/AProVE_memory_alloca/svcomp_ChenFlurMukhopadhyay-2012SAS-Fig1_true-termination-alloca.c	false(termination)	0.291791507	0.29091143887490034	8368128
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig3_true-termination-alloca.c	false(termination)	0.771221162	0.7683877227827907	8478720
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7a_true-termination-alloca.c	false(termination)	0.939264657	0.9358481308445334	8511488
C/AProVE_memory_alloca/svcomp_CookSeeZuleger-2013TACAS-Fig7b_true-termination-alloca.c	false(termination)	1.237989384	1.232917114160955	8540160
C/AProVE_memory_alloca/svcomp_GulwaniJainKoskinen-2009PLDI-Fig1_true-termination-alloca.c	false(termination)	0.95050217	0.9473947789520025	8384512
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig1_true-termination-alloca.c	false(termination)	0.945405532	0.9418079042807221	8544256
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig2_false-termination-alloca.c	false(termination)	0.8240794	0.8208499858155847	8409088
C/AProVE_memory_alloca/svcomp_HarrisLalNoriRajamani-2010SAS-Fig3_true-termination-alloca.c	false(termination)	0.336545629	0.34619392454624176	8261632
C/AProVE_memory_alloca/svcomp_KroeningSharyginaTsitovichWintersteiger-2010CAV-Fig1_true-termination-alloca.c	TIMEOUT	300.839991016	299.2217290131375	34635776
C/AProVE_memory_alloca/svcomp_LarrazOliverasRodriguez-CarbonellRubio-2013FMCAD-Fig1_true-termination-alloca.c	false(termination)	0.823688342	0.8207723572850227	8409088
C/AProVE_memory_alloca/svcomp_Masse_true-termination-alloca.c	false(termination)	0.637354099	0.6347274333238602	8409088
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig7_true-termination-alloca.c	false(termination)	0.481952579	0.4805070338770747	8511488
C/AProVE_memory_alloca/svcomp_NoriSharma-2013FSE-Fig8_true-termination-alloca.c	false(termination)	0.738933474	0.73656399641186	8273920
C/AProVE_memory_alloca/svcomp_PodelskiRybalchenko-2004VMCAI-Ex2_true-termination-alloca.c	false(termination)	0.260370483	0.25974571146070957	8364032
C/AProVE_memory_alloca/svcomp_TelAviv-Amir-Minimum_true-termination-alloca.c	TIMEOUT	300.693104626	300.6049294285476	406683648
C/AProVE_memory_alloca/svcomp_Toulouse-BranchesToLoop_true-termination-alloca.c	false(termination)	0.537182066	0.5353958271443844	8540160
C/AProVE_memory_alloca/svcomp_Toulouse-MultiBranchesToLoop_true-termination-alloca.c	false(termination)	1.479669097	1.4740769676864147	8105984
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig1_false-termination-alloca.c	false(termination)	0.41192902	0.4103082250803709	8409088
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2-modified1000_true-termination-alloca.c	false(termination)	0.549150313	0.5471418425440788	8253440
C/AProVE_memory_alloca/svcomp_Urban-2013WST-Fig2_true-termination-alloca.c	false(termination)	0.580534891	0.5784895271062851	8212480
C/AProVE_memory_alloca/svcomp_Urban_true-termination-alloca.c	TIMEOUT	300.794551689	299.6028248751536	29290496
C/AProVE_memory_alloca/svcomp_Velroyen_false-termination-alloca.c	false(termination)	1.559676143	1.5534215094521642	8265728
C/AProVE_memory_alloca/svcomp_aviad_true-termination-alloca.c	false(termination)	4.368793166	4.3419109582901	10076160
C/AProVE_memory_alloca/svcomp_cstrchr_true-termination_alloca.c	false(termination)	0.467164387	0.4657067907974124	8540160
C/AProVE_memory_alloca/svcomp_cstrcmp_true-termination_alloca.c	false(termination)	0.56613957	0.5641058729961514	8265728
