sv/,status,cputime (s),walltime (s),Should be,Compare
ldv-linux-3.7.3/main0_false-unreach-call_drivers--media--dvb-frontends--stv090x-ko---32_7a--linux-3.7.3.c,ABORTED,69.745773,70.80889019,false(reach),ABORTED
ldv-linux-3.7.3/linux-3.10-rc1-43_1a-bitvector-drivers--atm--he.ko-ldv_main0_true-unreach-call.cil.out.c,ABORTED,3.390772,3.433156833,TRUE,ABORTED
ldv-commit-tester/main0_false-unreach-call_drivers-net-wireless-ath-carl9170-carl9170-ko--32_7a--8a9f335-1.c,ABORTED,113.659186,114.5715081,false(reach),ABORTED
ldv-commit-tester/m0_true-unreach-call_sound-core-oss-snd-mixer-oss-ko--143_7a--506218e.c,ABORTED,1.367205,1.387742345,TRUE,ABORTED
ldv-commit-tester/main0_true-unreach-call_drivers-net-wireless-ath-carl9170-carl9170-ko--32_7a--8a9f335.c,ABORTED,103.734298,104.4971716,TRUE,ABORTED
ldv-consumption/32_7a_cilled_false-unreach-call_linux-3.8-rc1-32_7a-drivers--media--dvb-frontends--stv090x.ko-ldv_main0_sequence_infinite_withcheck_stateful.cil.out.c,ABORTED,40.666721,41.38913656,false(reach),ABORTED
ldv-linux-3.12-rc1/linux-3.12-rc1.tar.xz-118_1a-drivers--scsi--qla2xxx--qla2xxx.ko-entry_point_false-unreach-call.cil.out.c,ABORTED,87.437942,395.2793626,false(reach),ABORTED
ldv-validator-v0.6/linux-stable-5742d35-1-136_1a-drivers--usb--serial--ti_usb_3410_5052.ko-entry_point_false-unreach-call.cil.out.c,ABORTED,3.53116,3.564757517,false(reach),ABORTED
ldv-validator-v0.6/linux-stable-a9e7fb5-1-32_7a-drivers--media--rc--imon.ko-entry_point_false-unreach-call.cil.out.c,ABORTED,3.735453,4.590812555,false(reach),ABORTED
ldv-validator-v0.8/linux-stable-5742d35-1-136_1a-drivers--usb--serial--ti_usb_3410_5052.ko-entry_point_ldv-val-v0.8_false-unreach-call.cil.out.c,ABORTED,3.330393,4.162531867,false(reach),ABORTED
ldv-validator-v0.8/linux-stable-a9e7fb5-1-32_7a-drivers--media--rc--imon.ko-entry_point_ldv-val-v0.8_false-unreach-call.cil.out.c,ABORTED,3.802307,4.643404597,false(reach),ABORTED
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--ethernet--qlogic--qlge--qlge.ko-entry_point_true-unreach-call.cil.out.c,ABORTED,15.807653,16.58357313,TRUE,ABORTED
ldv-linux-4.2-rc1/linux-4.2-rc1.tar.xz-32_7a-drivers--net--ethernet--sfc--sfc.ko-entry_point_true-unreach-call.cil.out.c,ABORTED,36.833029,37.80504473,TRUE,ABORTED
